title,url,rating,votes,title_lemmas,Жанр,Режиссер,Продюсер,Сценарист,Композитор,Страна,Монтажер,Художник-постановщик,Оператор,Формат,Год,Хронометраж,Сборы в России,Зрители в России,Бюджет,Сборы в мире,Сборы в США,Дата релиза в РФ,Мировая премьера,Релиз на DVD,Релиз на Blu-Ray,Дата ре-релиза в РФ
Отель для самоубийц,https://www.filmpro.ru/movies/357816,8.5,27,"['отель', 'самоубийца']","['Драма', 'Криминал']",['Йонас Александр Арнбю'],"['Ева Якобсен', 'Ребекка Лафренз', 'Мария Экерховд', 'Катрин Пор', 'Кристоф Дэниэл', 'Кэрол Баратон', 'Миккель Ерсин', 'Йоанн Комт']",['Расмус Бирч'],['Миккел Хесс'],"['Норвегия', 'Дания', 'Германия']",['Йоргос Мавропсаридис'],"['Мерете Бострём', 'Катарина Биркенфелд', 'Эльза Фишер', 'Симона Грау']",['Нильс Тастум'],[],2019,90.0,,,,,,2020,2019.0,,,
Банды Индостана,https://www.filmpro.ru/movies/343433,8.5,23,"['банда', 'индостана']","['Боевик', 'Драма', 'Исторический фильм']",['Виджай Кришна Ачария'],"['Адитья Чопра', 'Култхеп Нарула', 'Аших Синх', 'Санджай Шивалкар', 'Уинстон Аццопарди', 'Гурприт Сингх', 'Бхарат Равайл']",['Виджай Кришна Ачария'],[],['Индия'],['Ритеш Сони'],[],['Мануш Нандан'],[],2018,164.0,,,,,,2019,2018.0,,,
Железный человек 3,https://www.filmpro.ru/movies/5239,8.5,778,"['железный', 'человек']","['Боевик', 'Приключения']",['Шейн Блэк'],"['Стэн Ли', 'Ави Арад']","['Стэн Ли', 'Джек Кирби']",[],['США'],[],[],[],"['2D', '3D', 'IMAX']",2013,130.0,,5229440.0,,,,2013,2013.0,2013.0,2013.0,
Гладиатор,https://www.filmpro.ru/movies/5876,8.5,2900,['гладиатор'],"['Боевик', 'Драма', 'Приключения']",['Ридли Скотт'],"['Ридли Скотт', 'Уолтер Ф. Паркс', 'Лори МакДональд', 'Дуглас Уик', 'Дэвид Францони', 'Бранко Лустиг', 'Терри Нихэм']","['Джон Логан', 'Уильям Николсон', 'Дэвид Францони']","['Ханс Циммер', 'Лиза Джеррард']","['США', 'Великобритания']",['Пьетро Скалия'],['Артур Макс'],['Джон Мэтисон'],[],2000,,1278394.0,0.0,,,,2000,2000.0,,,
Области тьмы,https://www.filmpro.ru/movies/5700,8.4,1265,"['область', 'тьма']","['Мистика', 'Триллер']",['Нил Бёргер'],"['Брэдли Купер', 'Райан Кэвэна', 'Такер Тули', 'Лесли Диксон', 'Кен Хэлсбэнд', 'Скотт Крупф', 'Пэтти Лонг', 'Адам Филдс', 'Рикардо Дел Рио', 'Джейсон Фелтс', 'Peach', 'Patrick']",['Лесли Диксон'],"['Пол Леонард-Морган', 'Нико Мьюли']",['США'],"['Наоми Джерати', 'Adams', 'Tracy (I)']",['Патриция Фон Бранденстайн'],['Джо Уиллемс'],[],2011,105.0,6219463.0,903939.0,26000000.0,161849455.0,79249455.0,2011,2011.0,2011.0,,
Дюплекс,https://www.filmpro.ru/movies/8786,8.4,21,['дюплекс'],['Комедия'],['Дэнни ДеВито'],"['Харви Вайнштейн', 'Бен Стиллер', 'Боб Вайнштейн', 'Дрю Бэрримор', 'Стюарт Корнфелд', 'Алан С. Бломквист', 'Ричард Н. Гладштейн', 'Джереми Крамер', 'Нэнси Джавонен', 'Мэрил Постер', 'Ларри Дойл', 'Дженнифер Уочтелл']",['Ларри Дойл'],['Дэвид Ньюман'],"['США', 'Германия']","['Линзи Клингмэн', 'Грег Хейден']",['Робин Стэндефер'],['Анастас Н. Микос'],[],2003,89.0,,0.0,40000000.0,19322135.0,9692135.0,2004,2003.0,2008.0,,
Перевозчик 2,https://www.filmpro.ru/movies/5567,8.4,23,['перевозчик'],"['Боевик', 'Триллер', 'Криминал']",['Луи Летерье'],"['Люк Бессон', 'Стив Чесман', 'Майкл Ваксман', 'Мехди Сайа', 'Терри Миллер', 'Элейн Керацис']","['Люк Бессон', 'Роберт Марк Кэмен']",['Александр Азария'],"['США', 'Франция']","['Винсент Тэбэйллон', 'Кристин Лукас Наварро']",['Дж. Марк Харингтон'],['Митчел Амундсен'],[],2005,87.0,1970872.0,477058.0,32000000.0,85044447.0,43095856.0,2005,2005.0,,2009.0,
Миллиард,https://www.filmpro.ru/movies/342434,8.4,2152,['миллиард'],"['Боевик', 'Комедия', 'Приключения']",['Роман Прыгунов'],"['Рафаел Минасбекян', 'Владимир Маслов', 'Ибрагим Магомедов', 'Бинке Анисимов', 'Арсен Таркнаев', 'Мурад Омаров', 'Вадим Верещагин']",['Андрей Золотарёв'],['Олег Белов'],['Россия'],[],['Мухтар Мирзакеев'],['Илья Авербах'],[],2019,,,,,,,2019,,,,
Гнездо Дракона: Восстание Черного Дракона,https://www.filmpro.ru/movies/241349,8.4,20,"['гнездо', 'дракон', 'восстание', 'чёрный', 'дракон']","['Семейный фильм', 'Приключения', 'Фэнтези']",['Юфон Сонг'],"['Билл Борден', 'Мэттью Темпл', 'Питер Райв', 'Майкл Ицзюнь Ванг']","['Юфон Сонг', 'Ран Чжуо', 'Терри Изуми']",['Эдриан Ли'],"['США', 'Китай', 'Франция']",[],[],[],"['2D', '3D']",2014,88.0,472431.0,121239.0,40000000.0,,,2015,2014.0,,,
Кэнган Асура,https://www.filmpro.ru/movies/345474,8.4,20,"['кэнган', 'асура']","['Аниме', 'Боевик']",[],[],[],[],[],[],[],[],[],2019,,,,,,,2019,2019.0,,,
Матрица: Революция,https://www.filmpro.ru/movies/9320,8.4,48,"['матрица', 'революция']",['Боевик'],"['Лана Вачовски', 'Энди Вачовски']","['Лана Вачовски', 'Энди Вачовски', 'Брюс Берман', 'Джоэл Силвер', 'Стив Ричардс', 'Грант Хилл', 'Эндрю Мэйсон', 'Фил Устерхаус', 'Вики Попплуэлл', 'Дэвид Форбс']","['Лана Вачовски', 'Энди Вачовски']","['Davis', 'Don (I)']","['США', 'Австралия']",['Зэк Стэнберг'],['Оуэн Патерсон'],['Билл Поуп'],[],2003,129.0,11675095.0,3379249.0,,,,2003,2003.0,,,
Смешарики. Начало,https://www.filmpro.ru/movies/8795,8.4,31,"['смешарики', 'начало']","['Комедия', 'Мультфильм', 'Семейный фильм', 'Приключения']",['Денис Чернов'],[],[],[],[],[],[],[],"['2D', '3D']",2011,86.0,8378074.0,1317452.0,,,,2011,2011.0,2012.0,,
Час пик 3,https://www.filmpro.ru/movies/8805,8.4,23,"['час', 'пик']","['Боевик', 'Комедия', 'Криминал']",['Бретт Рэтнер'],"['Тоби Эммерих', 'Роджер Бернбаум', 'Леон Дюдвуа', 'Джонатан Гликман', 'Джей Штерн', 'Джон Бернард', 'Джеймс М. Фрейтаг', 'Дэвид Гордер', 'Артур М. Саркиссян', 'Сэмюэл Дж. Браун', 'Эндрю З. Дэвис', 'Дэррил Джонс']","['Джефф Натансон', 'Росс ЛаМанна']",['Лало Шифрин'],"['США', 'Германия']","['Марк Хелфрич', 'Дон Зиммерман', 'Дин Зиммерман']",['Эд Верро'],['Джеймс Муро'],[],2007,91.0,4308021.0,780099.0,140000000.0,258022233.0,140125968.0,2007,2007.0,2011.0,,
Братц,https://www.filmpro.ru/movies/13816,8.4,27,['братц'],"['Комедия', 'Семейный фильм', 'Музыкальный фильм']",['Шон МакНамара'],"['Стивен Пол', 'Ави Арад', 'Исаак Лариан', 'Кайла Крэмен']","['Адам Де Ла Пеня', 'Дєвид Эйленберг', 'Сьюзэн Эстелль Джэнсен']",['Джон Кода'],['США'],['Джефф Кэнаван'],"['Расти Смит', 'Розарио Провенса', 'Карен Агрести', 'Бернадин Морган']",['Кристиан Зебальдт'],[],2007,110.0,402415.0,0.0,,,,2007,2007.0,2010.0,,
Тёмный рыцарь: Возрождение легенды,https://www.filmpro.ru/movies/9288,8.4,4348,"['тёмный', 'рыцарь', 'возрождение', 'легенда']","['Боевик', 'Триллер']",['Кристофер Нолан'],"['Кристофер Нолан', 'Томас Тулл', 'Чарльз Ровен', 'Эмма Томас', 'Майкл Э. Услан', 'Бенджамин Мельникер', 'Кевин Де Ла Ной', 'Дилип Синх Ратор']","['Кристофер Нолан', 'Джонатан Нолан', 'Дэвид С. Гойер', 'Боб Кэйн']",['Ханс Циммер'],"['США', 'Великобритания']",[],['Натан Краули'],['Уолли Пфистер'],"['2D', 'IMAX']",2012,165.0,17396122.0,2530422.0,250000000.0,,,2012,2012.0,2012.0,2012.0,
Астерикс и Обеликс: Миссия «Клеопатра»,https://www.filmpro.ru/movies/6402,8.4,25,"['астерикс', 'обеликс', 'миссия', 'клеопатра']","['Документальный фильм', 'Комедия', 'Приключения']",[],"['Ален Шаба', 'Клод Берри', 'Тома Лангманн', 'Пьер Грюнштейн', 'Роланд Пеллегрино', 'Салим Фасси Фихри']","['Рене Госинни', 'Альбер Удерзо']",['Харольд Райтингер'],"['Германия', 'Франция']",[],[],['Лоран Дайян'],[],2002,107.0,1263281.0,572950.0,,110989615.0,3115188.0,2002,2002.0,2004.0,,
