title,url,rating,votes,title_lemmas,Жанр,Режиссер,Продюсер,Сценарист,Композитор,Страна,Монтажер,Художник-постановщик,Оператор,Формат,Год,Хронометраж,Сборы в России,Зрители в России,Бюджет,Сборы в мире,Сборы в США,Дата релиза в РФ,Мировая премьера,Релиз на DVD,Релиз на Blu-Ray,Дата ре-релиза в РФ
Любовь прет-а-порте,https://www.filmpro.ru/movies/336379,8.3,75,"['любовь', 'переть', 'порт']",['Комедия'],['Макс Нардари'],"['Алексей Пиманов', 'Ольга Погодина', 'Роберто Бесси', 'Пьетро Инноченци']",['Макс Нардари'],['Владимир Давыденко'],['Россия'],[],[],[],[],2016,120.0,260896.0,61167.0,,,,2017,,,,
В гости к Робинсонам,https://www.filmpro.ru/movies/10697,8.2,44,"['гость', 'робинсонам']","['Комедия', 'Мультфильм', 'Приключения']",['Стивен Дж. Андерсон'],"['Джон Лассетер', 'Билл Борден', 'Уильям Джойс', 'Дэвид Дж. Стейнберг', 'Дороти МакКим', 'Кларк Спенсер', 'Макул Уигерт']","['Уильям Джойс', 'Нэйтан Грено', 'Стивен Дж. Андерсон', 'Ширли Пирс', 'Дон Холл', 'Джон Бернштейн', 'Дэниэл Джерсон', 'Роберт Л. Бейрд', 'Ориан Редсон', 'Джозеф Матео', 'Мишель Бочнер']",['Дэнни Элфман'],['США'],['Эллен Кенеши'],['Роб Руппел'],[],[],2007,95.0,794050.0,222253.0,,,,2007,2007.0,2010.0,,
Люди Икс: Начало. Росомаха,https://www.filmpro.ru/movies/5613,8.2,50,"['человек', 'икс', 'начало', 'росомаха']","['Боевик', 'Приключения']",['Гэвин Худ'],"['Хью Джекман', 'Стэн Ли', 'Ричард Доннер', 'Лорен Шулер Доннер', 'Ральф Винтер', 'Питер МакДональд', 'Луис Дж. Фридман', 'Джон Палермо', 'Курт Уильямс', 'Марша Л. Свинтон', 'Уитни Томас']","['Дэвид Бениофф', 'Скип Вудс']",['Гарри Грегсон-Уильямс'],[],"['Николас Де То', 'Меган Гилл']",['Бэрри Робисан'],['Доналд МакЭлпайн'],[],2009,107.0,7550812.0,1575857.0,150000000.0,373062569.0,,2009,2009.0,2009.0,,
"Я, робот",https://www.filmpro.ru/movies/8591,8.2,57,['робот'],"['Боевик', 'Драма', 'Криминал']",['Алекс Пройас'],[],"['Акива Голдсман', 'Айзек Азимов', 'Джеф Винтар']",['Марко Белтрами'],['США'],[],[],['Саймон Дагган'],[],2004,115.0,5895177.0,0.0,120000000.0,347234916.0,144801023.0,2004,2004.0,2008.0,,
Бэтмен: Начало,https://www.filmpro.ru/movies/5882,8.2,1124,"['бэтмен', 'начало']","['Боевик', 'Приключения']",['Кристофер Нолан'],"['Чарльз Ровен', 'Эмма Томас', 'Ларри Дж. Франко', 'Лорни Орлинз', 'Майкл Э. Услан', 'Бенджамин Мельникер', 'Шерил А. Ткач']","['Кристофер Нолан', 'Дэвид С. Гойер', 'Боб Кэйн']","['Ханс Циммер', 'Джеймс Ньютон Ховард']","['США', 'Великобритания']",[],['Натан Краули'],['Уолли Пфистер'],[],2005,140.0,1336886.0,0.0,150000000.0,371853783.0,,2005,2005.0,2009.0,,
Жил-был Дэдпул,https://www.filmpro.ru/movies/343659,8.2,21,"['жил', 'дэдпул']","['Боевик', 'Комедия', 'Фэнтези']",['Дэвид Лейтч'],[],[],[],['США'],[],[],[],[],2018,124.0,,,,,,2019,,,,
Особенные,https://www.filmpro.ru/movies/357369,8.2,55,['особенный'],['Комедия'],"['Оливье Накаш', 'Эрик Толедано']","['Венсан Кассель', 'Николя Дюваль-Адассовски']",['Эрик Толедано'],['Grandbrothers'],['Франция'],['Дориан Ригаль-Ансу'],['Julia Lemaire'],['Антуан Санье'],[],2019,114.0,,,,,,2020,,,,
Зеровилль,https://www.filmpro.ru/movies/348895,8.2,22,['зеровилль'],"['Комедия', 'Драма']",['Джеймс Франко'],"['Винс Джоливетт', 'Майкл Мендельсон', 'Лорен Селиг', 'Рон Сингер', 'Кирк Майкл Феллоуз', 'Кэролайн Арагон', 'Дрю Майкл Галлахер', 'Эбби Данн']","['Йен Олдз', 'Paul Felten']",['Джонни Джевел'],['США'],['Мэтт Дизел'],['Кристен Адамс'],['Брюс Тьерри Чунг'],[],2019,96.0,,,,,,2019,,,,
Железный человек 2,https://www.filmpro.ru/movies/8341,8.2,1336,"['железный', 'человек']","['Боевик', 'Приключения']",['Джон Фавро'],"['Стэн Ли', 'Кевин Файги', 'Джон Фавро', 'Виктория Алонсо', 'Луис Д’Эспозито', 'Сьюзен Дауни', 'Алан Файн', 'Дэвид Майсел', 'Дэнис Л. Стюарт', 'Джереми Латчем', 'Эрик Хеффрон']","['Стэн Ли', 'Джек Кирби', 'Ларри Либер', 'Дон Хек']",['Джон Дебни'],[],"['Ричард Пирсон', 'Дэн Лебентал']",['Дж. Майкл Рива'],['Мэттью Либатик'],[],2010,124.0,14698862.0,2482719.0,,,,2010,2010.0,,,
Погребальные байки,https://www.filmpro.ru/movies/357902,8.2,51,"['погребальный', 'байка']",['Ужасы'],['Райан Р. Спинделл'],"['Кристофер Алендер', 'Бен Хеткот', 'Лара Кадди', 'Марк Э. Дэвидсон', 'Тодд Бро', 'Элисон Фридман', 'Рич Менто']",['Райан Р. Спинделл'],[],['США'],"['Эрик Экман', 'Джозеф Шахуд']",['Лоурен Фицсиммонс'],['Эли Смолкин'],[],2019,108.0,,,,,,2020,,,,
Тор 2: Царство тьмы,https://www.filmpro.ru/movies/8322,8.2,228,"['тор', 'царство', 'тьма']","['Боевик', 'Приключения']",['Алан Тейлор'],"['Стэн Ли', 'Кевин Файги', 'Виктория Алонсо', 'Луис Д’Эспозито', 'Алан Файн', 'Крэйг Кайл', 'Найджел Гостелоу', 'Лейфур Б. Дагфиннссон']","['Стэн Ли', 'Джек Кирби', 'Кристофер Маркус', 'Стивен МакФили', 'Ларри Либер', 'Кристофер Йост', 'Дон Пэйн']",[],['США'],[],[],['Крамер Моргенто'],"['2D', '3D', 'IMAX']",2013,112.0,35908146.0,4268931.0,,,,2013,2013.0,2014.0,2014.0,
Ночная прогулка,https://www.filmpro.ru/movies/358362,8.2,29,"['ночной', 'прогулка']",[],[],[],[],[],[],[],[],[],[],2019,,,,,,,2021,,,,
Керосин,https://www.filmpro.ru/movies/344152,8.2,68,['керосин'],['Драма'],['Юсуп Разыков'],"['Юсуп Разыков', 'Владимир Кислицын', 'Денис Лузанов', 'Михаил Молотов', 'Александр Гадалов']",[],[],['Россия'],[],[],[],[],2019,77.0,,,,,,2020,2019.0,,,
Тайная жизнь,https://www.filmpro.ru/movies/344025,8.2,54,"['тайный', 'жизнь']","['Биографический фильм', 'Военный фильм', 'Драма']",['Терренс Малик'],"['Хеннинг Молфентер', 'Чарли Вебкен', 'Кристоф Фиссер', 'Грант Хилл', 'Мэтт Билски', 'Элизабет Бентли', 'Маркус Лоджс', 'Дарио Берджесио']",['Терренс Малик'],['Джеймс Ньютон Ховард'],"['США', 'Германия']",[],['Себастьян Т. Кравинкель'],['Йорг Видмер'],[],2019,180.0,,,,,,2020,2019.0,,,
Древо жизни,https://www.filmpro.ru/movies/5018,8.2,64,"['древо', 'жизнь']","['Драма', 'Фэнтези']",['Терренс Малик'],"['Брэд Питт', 'Сара Грин', 'Деде Гарднер', 'Грант Хилл', 'Стив Шварц', 'Pohlad', 'Bill', 'Паула Мэй Шварц', 'Сандхия Шарданан', 'Сьюзэн Кирр', 'Дональд Розенфельд', 'Иван Бесс', 'Грег Элиасон', 'Найджел Эшкрофт']",['Терренс Малик'],['Александр Деспла'],['США'],"['Джей Рабиновиц', 'Билли Вебер', 'Дэниэл Резенде', 'Хэнк Коруин', 'Марк Ёшикава']",['Джек Фиск'],['Эммануэль Любецки'],[],2011,139.0,2578719.0,337053.0,32000000.0,62303319.0,13303319.0,2011,2011.0,2011.0,,
Кунг-фу Панда 2,https://www.filmpro.ru/movies/5115,8.2,965,"['кунг', 'панда']","['Боевик', 'Мультфильм', 'Приключения']",['Дженнифер Ю'],"['Гильермо дель Торо', 'Джонатан Айбел', 'Гленн Бергер', 'Мелисса Кобб']","['Джонатан Айбел', 'Гленн Бергер']","['Ханс Циммер', 'Powell', 'John (I)']",[],[],[],[],"['2D', '3D', 'IMAX']",2011,91.0,31578651.0,4487331.0,150000000.0,665668449.0,165249063.0,2011,2011.0,2011.0,,
Илья Муромец и Соловей Разбойник,https://www.filmpro.ru/movies/9456,8.2,29,"['илья', 'муромец', 'соловей', 'разбойник']","['Комедия', 'Мультфильм', 'Приключения']",['Владимир Торопчин'],[],[],[],['Россия'],[],[],[],[],2007,80.0,9783675.0,1886098.0,2000000.0,,,2007,2007.0,2009.0,,
Крик 4,https://www.filmpro.ru/movies/8445,8.2,25,['крик'],"['Мистика', 'Ужасы']",['Уэс Крэйвен'],"['Харви Вайнштейн', 'Боб Вайнштейн', 'Уэс Крэйвен', 'Кевин Уильямсон', 'Schmidt', 'Ron (I)', 'Карли Фейнголд', 'Марианн Маддалена', 'Ия Лабунка']",['Кевин Уильямсон'],['Марко Белтрами'],['США'],['Питер МакНалти'],['Адам Штокхаузен'],['Питер Диминг'],[],2011,111.0,4136386.0,659720.0,40000000.0,73717817.0,38200000.0,2011,2011.0,2011.0,,
На крючке,https://www.filmpro.ru/movies/5690,8.2,36,['крючке'],"['Боевик', 'Мистика', 'Триллер']",['Ди Джей Карузо'],"['Стивен Спилберг', 'Алекс Куртцман', 'Роберто Орси', 'Патрик Краули', 'Джеймс М. Фрейтаг', 'Эдвард МакДоннел', 'Ризелле Мендоза', 'Пит Чиарелли']","['Дэн МакДермотт', 'Хиллари Сайц', 'Трэвис Райт', 'Джон Гленн']",['Брайан Тайлер'],"['США', 'Германия']",['Джим Пейдж'],['Томас Е. Сандерс'],['Дариуш Вольски'],[],2008,118.0,4640018.0,738898.0,80000000.0,178066569.0,101440743.0,2008,2008.0,2009.0,,
Люди Икс,https://www.filmpro.ru/movies/5839,8.2,432,"['человек', 'икс']","['Боевик', 'Приключения']",['Брайан Сингер'],"['Стэн Ли', 'Кевин Файги', 'Ави Арад', 'Ричард Доннер', 'Лорен Шулер Доннер', 'Ральф Винтер', 'DeSanto', 'Tom', 'Билл Тодман мл.', 'Скотт Нимерфро', 'Джоэль Саймон', 'Мэттью Эдельман']","['Брайан Сингер', 'Дэвид Хэйтер', 'DeSanto', 'Tom']",['Майкл Кэмен'],['США'],"['Стивен Розенблюм', 'Кевин Ститт', 'Джон Райт']",['Джон Мир'],['Ньютон Томас Сигел'],[],2000,104.0,1129095.0,445999.0,75000000.0,296250053.0,157299717.0,2000,2000.0,2008.0,2009.0,
Гран Торино,https://www.filmpro.ru/movies/8842,8.2,32,"['гран', 'торино']",['Драма'],['Клинт Иствуд'],"['Клинт Иствуд', 'Брюс Берман', 'Роберт Лоренц', 'Билл Гербер', 'Тим Мур', 'Дженет Кан', 'Адам Ричман']",['Ник Шенк'],"['Кайл Иствуд', 'Майкл Стивенс']","['США', 'Германия']","['Джоэль Кокс', 'Гари Роач']",['Джеймс Дж. Мураками'],['Том Стерн'],[],2008,116.0,386535.0,65349.0,33000000.0,262185755.0,,2009,2008.0,2009.0,,
7 главных желаний,https://www.filmpro.ru/movies/6058,8.2,28,"['главный', 'желание']","['Комедия', 'Драма']",['Вадим Соколовский'],"['Алексей Учитель', 'Кира Саксаганская']",['Вадим Соколовский'],[],['Россия'],"['Елена Андреева', 'Екатерина Шахунова']",[],"['Фёдор Лясс', 'Кирилл Зоткин']",[],2013,80.0,466469.0,77688.0,,,,2013,2013.0,,,
Ледниковый период 4: Континентальный дрейф,https://www.filmpro.ru/movies/5794,8.2,2137,"['ледниковый', 'период', 'континентальный', 'дрейф']","['Комедия', 'Мультфильм', 'Приключения']","['Майк Трумейер', 'Стив Мартино']",['Лори Форте'],"['Джейсон Фукс', 'Майкл Берг', 'Майк Рейсс']","['Powell', 'John (I)']",['США'],"['Дэвид Йен Сэлтер', 'Palumbo', 'James (I)']",[],['Ренато Фалькао'],"['2D', '3D']",2012,88.0,50067552.0,7695884.0,,,,2012,2012.0,2012.0,2012.0,
Жизнь других,https://www.filmpro.ru/movies/5535,8.2,50,['жизнь'],"['Драма', 'Триллер']",['Флориан Хенкель фон Доннерсмарк'],"['Флориан Хенкель фон Доннерсмарк', 'Квирин Берг', 'Макс Видерманн', 'Клаудия Гладзижевски']",['Флориан Хенкель фон Доннерсмарк'],"['Габриэль Яред', 'Moucha', 'Stéphane']",['Германия'],['Патриция Роммель'],['Силке Бур'],['Хаген Богданский'],[],2006,137.0,289692.0,0.0,2000000.0,25984657.0,11286112.0,2007,2006.0,2007.0,,
ВМаяковский,https://www.filmpro.ru/movies/342072,8.2,28,['вмаяковский'],"['Биографический фильм', 'Драма']",['Александр Шейн'],"['Юрий Колокольников', 'Гия Лордкипанидзе', 'Виктор Такнов', 'Ольга Давыдова', 'Владимир Водолагин']","['Александр Шейн', 'Ирина Марголина', 'Денис Нейманд', 'Аркадий Ваксберг', 'Владимир Громов']","['Антон Адасинский', 'Демьян Курченко', 'Арсений Трофим', 'Борис Андрианов']",['Россия'],"['Сергей Иванов', 'Александр Шейн', 'Александр Шапиро', 'Ксения Филиппова']","['Евгений Митта', 'Степан Лукьянов', 'Дмитрий Гутов', 'Стас Багс', 'Гвидон Агаянц']",['Йорг Грубер'],[],2018,122.0,,,,,,2019,,,,
Эван Всемогущий,https://www.filmpro.ru/movies/15220,8.2,62,"['эван', 'всемогущий']","['Комедия', 'Семейный фильм', 'Фэнтези']",['Том Шэдьяк'],"['Том Хэнкс', 'Роджер Бернбаум', 'Гари Барбер', 'Гари Гоэцман', 'Нил Х. Мориц', 'Том Шэдьяк', 'Мэтт Любер', 'Илона Херцберг', 'Джонатан Уотсон', 'Майкл Бостик', 'Джейсон Уилсон', 'Ори Мармур', 'Аманда Морган Палмер', 'Джанет Л. Уоттлес', 'Дэйв Филлипс']","['Стив Одекерк', 'Стив Корен', 'Алек Соколов', 'Марк О’Кифи']",['John Debney'],['США'],['Скотт Хилл'],"['Линда Дессенна', 'Джуди Л. Рускин', 'Рик МакЭлвин', 'Джеймс Недза']",['Иэн Бейкер'],[],2007,96.0,3342333.0,682604.0,,,,2007,2007.0,2008.0,,
Мальчишник. Часть III,https://www.filmpro.ru/movies/8964,8.2,128,"['мальчишник', 'часть', 'iii']","['Комедия', 'Криминал']",['Тодд Филлипс'],"['Тодд Филлипс', 'Томас Тулл', 'Дж.С. Спинк', 'Дэниэл Голдберг', 'Скотт Будник']","['Тодд Филлипс', 'Крэйг Мейзин', 'Джон Лукас', 'Скотт Мур']",['Кристоф Бек'],['США'],[],[],['Лоуренс Шер'],[],2013,100.0,17621828.0,2427122.0,103000000.0,,,2013,2013.0,2013.0,2013.0,
Голодные игры: И вспыхнет пламя,https://www.filmpro.ru/movies/5023,8.2,154,"['голодный', 'игра', 'вспыхнуть', 'пламя']","['Боевик', 'Мистика', 'Приключения']",['Френсис Лоуренс'],"['Джон Килик', 'Нина Джейкобсон']","['Майкл Арндт', 'Саймон Бофой', 'Сюзанн Коллинз']",[],['США'],[],[],[],"['2D', 'IMAX']",2013,146.0,23746780.0,3384050.0,,,,2013,2013.0,,,
Конец света,https://www.filmpro.ru/movies/8501,8.2,36,"['конец', 'свет']",['Драма'],[],"['Фернандо Бовайра', 'Белен Атьенца', 'Мерседес Гамеро', 'Микель Лехарса', 'Энрике Лопез Лавин']","['Серджо Дж. Санчез', 'Хорхе Геррикэчеваррия']",['Лусио Годой'],['Испания'],[],[],[],[],2012,88.0,2932.0,509.0,,,,2012,2012.0,2013.0,2013.0,
Робокар Поли: Приключение в Брумтауне,https://www.filmpro.ru/movies/357380,8.2,24,"['робокар', 'поли', 'приключение', 'брумтауне']","['Мультфильм', 'Семейный фильм']",['Ом Джун-ён'],"['Ли Донг-ву', 'Пак Чон-мин', 'Нам Хан-гил']",[],[],['Южная Корея'],[],[],[],[],2019,70.0,,,,,,2019,,,,
Сказки Гофмана,https://www.filmpro.ru/movies/359573,8.2,24,"['сказка', 'гофман']","['Комедия', 'Драма']",['Тина Баркалая'],"['Екатерина Филиппова', 'Ольга Ажнакина', 'Андрей Курченко']",['Тина Баркалая'],[],['Россия'],[],[],['Константин Эсадзе'],[],2022,98.0,,,,,,2024,,,,
Мисс Конгениальность,https://www.filmpro.ru/movies/8584,8.2,23,"['мисс', 'конгениальность']","['Боевик', 'Комедия', 'Криминал']",['Дональд Питри'],[],"['Марк Лоуренс', 'Кэти Форд']",['Эд Ширмёр'],['США'],[],[],['Ласло Ковач'],[],2000,109.0,408268.0,0.0,45000000.0,212742720.0,106807667.0,2001,2000.0,2011.0,,
Люди в чёрном 3,https://www.filmpro.ru/movies/8656,8.2,1594,"['человек', 'чёрный']","['Боевик', 'Комедия', 'Научно-фантастический']",['Барри Зонненфельд'],"['Стивен Спилберг', 'Уолтер Ф. Паркс', 'Лори МакДональд', 'Дж. Мак Браун']","['Итан Коэн', 'Дэвид Кепп', 'Джефф Натансон', 'Лоуелл Каннингэм']",[],['США'],['Уэйн Уормэн'],['Бо Уэлш'],['Билл Поуп'],"['2D', '3D', 'IMAX']",2012,106.0,36693849.0,4559028.0,,,,2012,2012.0,2012.0,2012.0,
Американская история Х,https://www.filmpro.ru/movies/8049,8.2,39,"['американский', 'история']","['Драма', 'Криминал']",['Тони Кэй'],[],[],[],['США'],[],[],[],[],1998,119.0,11617.0,0.0,20000000.0,23875127.0,6719864.0,1999,1998.0,2008.0,,
Динозавр,https://www.filmpro.ru/movies/283465,8.2,32,['динозавр'],"['Мультфильм', 'Семейный фильм', 'Приключения']","['Ральф Зондаг', 'Эрик Лейтон']","['Бэйкер Бладуорф', 'Джим Бертон', 'Пэм Мэрсден']","['Джон Харрисон', 'Уолон Грин', 'Ретт Риз', 'Ральф Зондаг', 'Ширли Пирс', 'Роберт Нелсон Джекобс', 'Том Энрикез', 'Тамара Лушер', 'Грегори Гюнтер']",['Джеймс Ньютон Ховард'],['США'],['Х. Ли Петерсон'],"['Уолтер П. Мартишиус', 'Кристи Мальтезе']","['Стивен Дуглас Смит', 'Дэвид Р. Хардбергер']",[],2000,82.0,274046.0,0.0,,,,2000,2000.0,2009.0,,
Мадагаскар 3,https://www.filmpro.ru/movies/9013,8.2,1538,['мадагаскар'],"['Комедия', 'Мультфильм', 'Приключения']",['Эрик Дарнелл'],"['Мирей Сория', 'Марк Свифт']",['Ноа Баумбах'],[],['США'],[],[],[],"['2D', '3D', 'IMAX']",2012,93.0,48934652.0,7444679.0,145000000.0,277451000.0,120451000.0,2012,2012.0,2012.0,2012.0,
Хоббит: Нежданное путешествие,https://www.filmpro.ru/movies/9112,8.2,2552,"['хоббит', 'нежданный', 'путешествие']","['Семейный фильм', 'Приключения', 'Фэнтези']",['Питер Джексон'],"['Питер Джексон', 'Тоби Эммерих', 'Фрэнсис Уолш', 'Алан Хорн', 'Филиппа Бойенс', 'Кен Каминс', 'Кэролинн Каннингэм', 'Каллум Грин']","['Питер Джексон', 'Гильермо дель Торо', 'Фрэнсис Уолш', 'Филиппа Бойенс']",['Говард Шор'],"['США', 'Новая Зеландия']",['Джэбез Олссен'],[],['Эндрю Лесни'],"['2D', '3D', 'IMAX']",2012,169.0,44106437.0,4652054.0,,,,2012,2012.0,2013.0,2013.0,
Крепкий орешек 4.0,https://www.filmpro.ru/movies/8666,8.1,748,"['крепкий', 'орешек']","['Боевик', 'Приключения', 'Триллер']",['Лен Уайзман'],"['Стивен Дж. Идс', 'Майкл Фоттрел', 'Уильям Уишер мл.', 'Арнольд Рифкин']","['Марк Бомбэк', 'Родерик Торп', 'Джон Карлин', 'Дэвид Маркони']",['Марко Белтрами'],"['США', 'Великобритания']",['Николас Де То'],['Патрик Татопулос'],['Саймон Дагган'],[],2007,128.0,8757131.0,1535136.0,110000000.0,383531541.0,,2007,2007.0,2008.0,,
Француз,https://www.filmpro.ru/movies/344073,8.1,29,['француз'],"['Драма', 'Исторический фильм']",['Андрей Смирнов'],"['Валерий Тодоровский', 'Андрей Смирнов', 'Елена Прудникова']",['Андрей Смирнов'],[],['Россия'],[],['Владимир Гудилин'],['Юрий Шайгарданов'],[],2019,128.0,,,,,,2019,,,,
Усама,https://www.filmpro.ru/movies/13470,8.1,96,['усама'],['Драма'],['Сиддик Бармак'],"['Мохсен Махмальбаф', 'Макото Уеда', 'Сиддик Бармак', 'Джули ЛеБрок', 'Джулия Фрайзер']",['Сиддик Бармак'],['Мохаммад Реза Дарвиши'],"['Афганистан', 'Япония', 'Ирландия']",['Сиддик Бармак'],['Акбар Али'],['Ибрахим Гафори'],[],2003,83.0,2285.0,0.0,,,,2005,2003.0,,,
Экстремальные гонки,https://www.filmpro.ru/movies/12917,8.1,37,"['экстремальный', 'гонка']","['Боевик', 'Драма', 'Триллер', 'Криминал']","['Вэй Кеунг Лау', 'Сиу Фай Мак', 'Ральф Рикерманн']","['Вэй Кеунг Лау', 'Джон Чонг', 'Рональд Вонг', 'Стефен Лам', 'Лоррэйн Хо', 'Эллен Чанг', 'Элос Галло', 'Янг Йинг', 'Чарли Хау']","['Феликс Чонг', 'Сюити Сигено']",['Чань Квонвин'],"['Гонконг', 'Китай']",['Вонг Хой'],['Сильвер Чунг'],"['Вэй Кеунг Лау', 'Ю-Фай Лаи', 'Ман-Чинг']",[],2005,107.0,1319.0,0.0,,,,2006,2005.0,,,
Дело Коллини,https://www.filmpro.ru/movies/357294,8.1,37,"['дело', 'коллини']","['Драма', 'Триллер', 'Криминал']",['Марко Кройцпайнтнер'],"['Мартин Московиц', 'Кристоф Мюллер', 'Кристин Рот', 'Керстин Шмидбауер', 'Верена Шиллинг', 'Сьюзанн Функе', 'Штефан Гёртнер', 'Марсель Хартгес']","['Кристиан Цюберт', 'Йенс-Фредерик Отто', 'Фердинанд фон Ширах', 'Роберт Голд']",['Бен Лукас Бойсен'],['Германия'],['Йоханнес Хубрих'],['Юзеф Санктьёханзер'],['Якуб Бейнарович'],[],2019,118.0,,,,,,2020,,,,
Чем дальше в лес...,https://www.filmpro.ru/movies/6054,8.1,25,['лес'],"['Комедия', 'Драма', 'Приключения']",['Роб Маршалл'],"['Роб Маршалл', 'Джон ДеЛюка']",['Джеймс Лэпин'],[],['США'],['Уайатт Смит'],[],['Дион Биби'],[],2014,124.0,1881758.0,409838.0,,,,2014,2014.0,2015.0,2015.0,
Законопослушный гражданин,https://www.filmpro.ru/movies/9484,8.1,237,"['законопослушный', 'гражданин']","['Драма', 'Триллер', 'Криминал']",['Ф. Гэри Грей'],"['Джерард Батлер', 'Курт Уиммер', 'Лукас Фостер', 'Марк Гилл', 'Ян Уотермейер', 'Роберт Кац', 'Джефф Дж. Ваксман', 'Алан Сигел', 'Грег Веесер', 'Дэйв Гэйр', 'Нил Сакер', 'Майкл Гогуэн']",['Курт Уиммер'],['Брайан Тайлер'],['США'],['Тарик Анвар'],['Алекс Хайду'],['Джонатан Села'],[],2009,109.0,2116216.0,369210.0,50000000.0,126635256.0,73357727.0,2009,2009.0,2009.0,,
Бойцовский клуб,https://www.filmpro.ru/movies/9199,8.1,1329,"['бойцовский', 'клуб']",['Драма'],['Дэвид Финчер'],"['Арнон Милчэн', 'Арт Линсон', 'Росс Грэйсон Белл']",['Чак Паланик'],['Майкл Симпсон'],"['США', 'Германия']",[],['Алекс Макдауэлл'],['Джефф Кроненвет'],[],1999,139.0,144112.0,0.0,,,,2000,1999.0,,,2019.0
Матрица,https://www.filmpro.ru/movies/4815,8.1,1886,['матрица'],['Боевик'],"['Лана Вачовски', 'Энди Вачовски']","['Лана Вачовски', 'Энди Вачовски', 'Брюс Берман', 'Джоэл Силвер', 'Эрвин Стофф', 'Эндрю Мэйсон', 'Барри М. Осборн', 'Ричард Мириш', 'Дэн Краччиоло', 'Кэрол Хьюз']","['Лана Вачовски', 'Энди Вачовски']","['Davis', 'Don (I)']","['США', 'Австралия']",['Зэк Стэнберг'],['Оуэн Патерсон'],['Билл Поуп'],[],1999,136.0,1899810.0,0.0,,,,1999,1999.0,,,2019.0
Особое мнение,https://www.filmpro.ru/movies/4758,8.1,58,"['особый', 'мнение']","['Боевик', 'Приключения', 'Криминал']",['Стивен Спилберг'],"['Уолтер Ф. Паркс', 'Бонни Кертис', 'Ян де Бонт', 'Рональд Шусетт', 'Серджо Мимика-Геззан', 'Гари Голдман', 'Майкл Доуен', 'Джералд Р. Молен']","['Филип К. Дик', 'Скотт Фрэнк']",['Джон Уильямс'],['США'],['Майкл Кан'],['Алекс Макдауэлл'],['Януш Камински'],[],2002,145.0,2977812.0,0.0,102000000.0,358000000.0,,2002,2002.0,2010.0,,
Залечь на дно в Брюгге,https://www.filmpro.ru/movies/8497,8.1,43,"['залечь', 'дно', 'брюгге']","['Комедия', 'Драма', 'Криминал']",['Мартин МакДонах'],"['Питер Чернин', 'Грэхэм Броадбент', 'Джефф Абберли']",['Мартин МакДонах'],['Картер Бёруэлл'],[],[],[],['Эйгил Брилд'],[],2008,107.0,698364.0,0.0,15000000.0,33384294.0,7800824.0,2008,2008.0,2008.0,,
Военный ныряльщик,https://www.filmpro.ru/movies/7495,8.1,27,"['военный', 'ныряльщик']","['Биографический фильм', 'Драма']",['Джордж Тиллман мл.'],"['Билл Косби', 'Роберт Тейтел', 'Билл Бадалато']",['Скотт Маршалл'],['Марк Айшем'],['США'],[],[],['Энтони Б. Ричмонд'],[],2000,129.0,286584.0,0.0,32000000.0,82343495.0,48818921.0,2001,2000.0,,,
Метро,https://www.filmpro.ru/movies/5909,8.1,164,['метро'],"['Драма', 'Триллер']",['Антон Мегердичев'],"['Игорь Толстунов', 'Сергей Козлов']","['Денис Курышев', 'Виктория Евсеева', 'Дмитрий Сафонов']",['Юрий Потеенко'],['Россия'],[],[],['Сергей Астахов'],[],2012,132.0,12158575.0,1595870.0,9500000.0,,,2013,2013.0,2013.0,2013.0,
Всё и сразу,https://www.filmpro.ru/movies/73221,8.1,23,[],['Комедия'],['Роман Каримов'],"['Андрей Новиков', 'Александр Котелевский', 'Илья Бурец', 'Дмитрий Нелидов']",['Роман Каримов'],[],['Россия'],['Роман Каримов'],[],['Александр Тананов'],[],2013,93.0,3518247.0,577612.0,3000000.0,,,2014,2014.0,2014.0,,
«V» значит Вендетта,https://www.filmpro.ru/movies/8757,8.1,87,"['v', 'вендетта']","['Боевик', 'Драма', 'Триллер']",['Джеймс МакТиг'],"['Лана Вачовски', 'Энди Вачовски', 'Джоэл Силвер', 'Чарли Вебкен', 'Хеннинг Молфентер', 'Лорни Орлинз', 'Бен Уайсбрен', 'Грант Хилл', 'Роберто Малерба', 'Джессика Алан']","['Лана Вачовски', 'Энди Вачовски', 'Дэвид Ллойд']",['Дарио Марианелли'],"['Германия', 'Великобритания']","['Walsh', 'Martin (I)']",['Оуэн Патерсон'],['Эдриан Биддл'],[],2005,132.0,1467709.0,317407.0,54000000.0,131411035.0,70511035.0,2006,2005.0,2011.0,,
Прощание со Сталиным,https://www.filmpro.ru/movies/357506,8.1,20,"['прощание', 'сталин']","['Документальный фильм', 'Исторический фильм']",['Сергей Лозница'],"['Сергей Лозница', 'Мария Шустова-Бейкер']",['Сергей Лозница'],[],"['Литва', 'Нидерланды']",['Даниэлюс Коканаускис'],[],[],[],2019,135.0,,,,,,2020,2019.0,,,
